transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita UPanaWojtka    :=
1         0.000            0.947       1.325   0.877      0.000
2         0.000            2.231       4.337   0.764      0.000
3         0.000            0.000       0.000   0.727      0.000
4         0.000            0.352       0.000   1.906      0.000
5         0.000            0.862       4.950   0.000      0.000
6         0.000            1.003       0.000   0.383      0.000
7         0.000            1.688       0.000   1.787      0.000
8         0.718            0.000       0.000   0.039      0.000
9         1.097            2.048       6.864   0.000      0.000
10        0.000            0.799       0.000   1.700      0.000
11        1.276            0.000       0.000   0.000      0.000
12        1.167            0.000       0.000   0.000      0.000
13        1.894            3.317       0.215   0.600      0.000
14        0.000            0.000       3.671   0.745      0.000
15        0.000            0.000       0.000   2.175      0.000
16        0.000            0.769       0.000   0.000      0.000
17        0.000            0.000       4.331   0.000      0.000
18        0.000            0.000       0.000   0.000      0.000
19        0.000            2.076       0.000   0.816      0.000
20        0.000            0.637       0.652   0.850      0.000
21        0.000            0.000       1.905   1.439      0.000
22        0.000            1.195       0.000   0.000      0.000
23        0.000            0.509       3.284   1.397      0.000
24        0.000            0.844       0.000   0.000      0.000
25        0.000            0.880       4.250   2.171      0.000
26        1.985            2.865       0.000   0.000      0.000
27        0.000            0.932       0.000   0.000      0.000
28        0.000            0.000       3.416   1.257      0.000
29        0.000            0.426       0.000   0.193      0.000
30        2.264            1.995       3.505   1.424      0.000
31        0.105            0.000       0.000   0.005      0.000
32        0.000            2.147       1.795   0.807      0.000
33        2.515            0.000       3.048   0.486      0.000
34        0.000            2.147       0.000   1.598      0.000
35        0.000            0.000       5.025   0.000      0.907
36        0.000            2.989       0.000   0.800      0.000
37        1.257            0.000       0.000   1.595      0.000
38        0.000            0.038       2.002   0.000      0.000
39        0.495            2.147       2.000   1.595      0.000
40        2.515            0.000       3.444   0.000      0.000
41        0.000            1.073       0.000   0.797      0.000
42        0.000            1.073       1.881   0.721      0.000
43        1.257            1.967       1.998   1.602      0.000
44        0.000            1.226       3.383   0.000      0.000
45        2.479            0.000       0.000   2.043      0.000
46        0.000            2.146       4.815   0.000      0.000
47        1.257            0.000       3.149   1.052      0.000
48        0.000            1.959       0.000   0.000      0.000
49        0.000            0.000       0.000   2.140      0.000
50        0.000            1.954       3.170   0.000      0.000
51        0.000            0.000       0.000   0.252      0.000
52        0.861            1.073       1.684   0.797      0.000

 [*,Piaseczno,Kapusta,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        1.193       0.000   1.134
2        0.000       0.000   0.000
3        2.660       0.000   0.855
4        0.000       0.000   0.644
5        0.000       0.000   0.000
6        1.405       0.000   0.709
7        0.000       0.000   0.460
8        0.000       0.000   0.700
9        0.178       0.000   0.000
10       0.000       1.897   0.889
11       0.834       0.000   0.000
12       0.000       0.000   0.000
13       0.867       0.814   1.244
14       0.000       3.072   0.000
15       1.162       0.000   0.000
16       0.000       0.000   1.351
17       0.000       0.000   0.000
18       1.157       0.000   0.000
19       0.000       0.000   0.367
20       0.447       2.090   0.468
21       0.694       0.000   1.288
22       1.793       0.000   0.000
23       0.000       2.087   0.000
24       0.000       0.000   1.090
25       0.591       1.648   0.000
26       1.512       0.000   1.548
27       0.000       1.037   0.000
28       1.893       3.387   0.000
29       0.000       0.000   0.414
30       0.000       0.000   0.467
31       1.673       0.000   1.329
32       0.000       3.917   0.000
33       1.711       0.000   0.000
34       0.000       0.000   0.505
35       0.779       0.000   1.215
36       0.555       0.000   0.000
37       0.822       2.298   0.579
38       1.246       0.000   0.704
39       0.391       0.000   1.126
40       1.351       0.000   0.032
41       0.262       0.000   0.681
42       0.852       0.000   1.136
43       0.943       3.284   0.395
44       2.106       0.000   0.000
45       0.000       0.000   0.445
46       0.000       0.000   1.242
47       2.174       0.000   0.000
48       0.000       0.000   0.695
49       0.000       1.220   1.000
50       1.460       3.176   0.000
51       0.000       0.000   0.538
52       0.900       0.000   0.576

 [*,Piaseczno,Marchew,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        1.353       3.674   0.945
2        1.073       0.000   0.687
3        0.000       0.000   1.405
4        2.515       2.850   0.000
5        0.000       0.000   0.707
6        0.000       6.004   1.926
7        2.348       0.000   0.076
8        0.000       0.000   0.000
9        0.000       1.099   0.603
10       1.852       0.000   0.539
11       0.000       0.000   2.565
12       0.000       2.727   0.000
13       1.599       0.000   0.000
14       0.000       4.757   0.000
15       0.000       0.000   0.000
16       1.370       0.000   0.761
17       0.000       0.000   1.596
18       0.840       0.961   0.000
19       2.839       1.153   0.108
20       0.000       4.350   1.464
21       0.857       0.000   0.000
22       0.000       0.000   0.629
23       2.191       0.000   2.373
24       0.000       2.692   0.000
25       0.022       0.000   0.000
26       0.927       0.000   0.371
27       1.243       1.529   1.533
28       0.939       3.100   0.000
29       2.889       0.000   1.287
30       0.170       3.748   0.000
31       0.000       0.000   1.507
32       1.927       2.286   0.000
33       1.364       3.436   1.263
34       0.292       0.000   0.000
35       3.020       0.000   0.600
36       0.062       2.994   0.921
37       0.000       0.000   0.784
38       2.277       1.929   0.912
39       0.000       4.412   0.866
40       2.295       0.000   0.802
41       0.000       6.822   0.911
42       2.899       0.000   0.674
43       0.000       1.990   0.867
44       0.515       0.000   2.258
45       1.125       0.000   0.000
46       0.979       0.000   0.000
47       1.643       2.004   0.910
48       0.688       5.336   0.901
49       0.797       0.000   0.720
50       0.805       0.386   0.816
51       1.254       1.508   0.768
52       1.213       1.634   0.833

 [*,Piaseczno,Ziemniaki,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        3.507       1.700   1.286
2        0.000       5.680   2.905
3        1.064       0.000   0.000
4        0.000       0.000   0.000
5        2.414       6.461   2.495
6        0.000       0.000   0.000
7        0.689       0.000   1.491
8        2.238       1.875   0.000
9        2.011       0.000   1.615
10       0.000       4.212   0.000
11       0.000       6.414   0.747
12       0.961       0.000   1.491
13       0.949       0.000   0.000
14       1.380       0.000   2.453
15       0.000       0.000   0.000
16       1.870       8.988   0.000
17       0.000       0.000   1.398
18       1.131       0.000   0.000
19       1.155       4.583   2.849
20       2.438       0.000   0.278
21       0.000       1.471   0.000
22       2.457       0.000   1.594
23       0.000       0.000   0.000
24       3.686       0.000   1.232
25       0.000       7.365   1.208
26       0.000       0.000   0.775
27       1.752       0.123   0.836
28       1.311       0.000   2.158
29       1.379       8.356   0.000
30       1.226       0.000   2.319
31       1.874       0.000   0.000
32       1.626       3.357   0.774
33       1.635       0.000   2.715
34       1.886       1.755   0.000
35       1.624       5.808   0.000
36       1.058       0.000   2.477
37       2.559       0.697   0.067
38       1.083       9.174   2.454
39       2.587       0.000   0.227
40       0.785       0.000   1.183
41       1.467       0.593   2.474
42       1.737       5.115   1.260
43       1.933       0.000   0.000
44       1.276       2.091   1.201
45       2.925       8.648   0.691
46       0.128       0.000   1.051
47       1.688       0.000   1.688
48       2.147       1.283   2.151
49       0.534       7.307   0.000
50       1.104       0.000   1.156
51       3.431       0.000   2.337
52       0.165       2.126   0.000

 [*,Pruszkow,Buraki,*] (tr)
:  ArabicGroceryShop UAktora UCHLOPAKOW UPanaWojtka    :=
1         1.314        3.310    1.082       0.000
2         1.263        0.000    1.638       0.000
3         0.896        0.000    0.000       0.000
4         1.151        0.000    3.192       0.000
5         0.765        1.607    0.000       2.065
6         2.695        0.000    0.000       0.000
7         0.000        1.997    2.655       0.000
8         0.000        0.000    0.000       0.000
9         0.000        0.000    0.000       0.000
10        1.068        0.765    2.622       0.000
11        0.000        3.503    0.000       0.000
12        0.000        0.000    0.000       0.000
13        0.000        0.000    3.692       0.000
14        0.000        1.813    0.000       0.000
15        3.231        0.000    0.000       0.000
16        0.000        0.000    0.000       0.000
17        0.000        0.000    1.229       0.000
18        1.260        0.689    0.454       0.000
19        1.415        1.171    1.786       0.000
20        0.000        0.673    0.000       0.000
21        1.040        0.819    0.707       0.000
22        2.071        1.662    1.020       0.000
23        0.000        0.000    4.346       0.000
24        2.276        1.775    0.000       0.000
25        0.000        0.000    0.000       0.000
26        0.000        1.072    0.000       0.000
27        0.000        0.707    0.942       0.000
28        2.341        2.200    1.141       0.000
29        0.115        0.000    2.785       0.000
30        0.000        2.143    0.000       1.230
31        0.000        0.000    3.322       0.000
32        1.257        3.191    0.000       0.000
33        0.000        0.041    0.230       0.000
34        0.000        0.000    0.762       0.000
35        2.107        1.150    1.097       0.000
36        0.407        1.150    3.529       0.000
37        0.000        1.719    0.000       0.000
38        2.020        1.668    0.000       0.247
39        0.000        0.000    2.800       1.227
40        0.000        1.150    0.000       0.000
41        0.000        2.108    1.242       0.000
42        1.257        0.192    1.161       0.000
43        0.000        1.150    1.708       1.227
44        1.257        1.148    3.098       0.000
45        0.000        2.898    0.000       0.000
46        0.000        0.000    0.000       0.000
47        0.000        0.269    0.927       0.000
48        2.379        1.151    1.129       0.000
49        0.135        1.135    2.201       0.000
50        1.257        0.818    0.000       0.000
51        1.257        1.593    1.280       0.000
