transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita    :=
43       1.476       0.000   0.000
44       1.163       1.478   1.338
45       3.061       7.797   1.232
46       0.018       0.000   1.206
47       1.811       0.000   2.595
48       2.566       0.000   0.629
49       0.362       5.760   0.306
50       1.121       0.000   0.998
51       2.958       0.000   2.096
52       0.000       1.899   0.000

 [*,Pruszkow,Buraki,*] (tr)
:  ArabicGroceryShop UAktora UCHLOPAKOW UPanaWojtka    :=
1         1.255        3.601    1.244       0.000
2         0.000        0.000    2.071       0.000
3         1.156        0.000    0.000       0.000
4         0.699        0.585    3.105       0.000
5         0.873        1.534    0.000       0.014
6         3.388        0.000    0.000       0.000
7         0.000        2.833    2.602       0.000
8         0.000        0.000    0.000       0.000
9         0.000        0.000    0.000       0.000
10        1.139        0.455    2.560       0.000
11        0.000        4.317    0.000       0.000
12        0.000        0.000    0.000       0.000
13        0.000        0.000    3.253       0.000
14        0.000        1.102    0.000       0.000
15        1.058        0.000    0.000       0.000
16        0.000        0.000    0.000       0.000
17        0.000        0.000    1.459       0.000
18        0.000        0.892    0.000       0.000
19        1.314        1.094    1.747       0.000
20        0.000        0.747    0.000       0.000
21        0.816        0.574    0.890       0.000
22        2.035        1.490    0.827       0.000
23        0.000        0.000    4.070       0.000
24        2.373        2.138    0.000       0.000
25        0.097        0.000    0.000       0.000
26        0.000        0.560    0.900       0.000
27        0.000        2.224    1.202       0.000
28        1.691        0.000    0.765       0.000
29        0.830        0.870    2.569       0.000
30        0.000        2.277    0.000       1.238
31        0.000        0.000    2.723       0.000
32        1.257        3.239    0.000       0.000
33        0.000        0.000    2.125       0.000
34        0.000        0.000    0.166       0.000
35        2.340        1.150    1.184       0.000
36        0.000        0.662    3.211       0.000
37        0.000        1.170    0.000       0.000
38        0.717        1.911    0.000       0.532
39        0.000        0.000    3.134       1.227
40        0.000        1.162    0.000       0.000
41        0.000        2.285    0.000       0.000
42        1.280        0.000    1.427       0.000
43        0.000        0.929    1.609       1.227
44        0.000        0.960    2.516       0.000
45        0.000        2.490    1.179       0.000
46        0.000        0.000    0.085       0.000
47        0.000        0.559    1.219       0.000
48        2.114        0.735    1.395       0.000
49        0.000        1.120    2.084       0.000
50        0.000        0.676    0.000       0.000
51        1.257        1.627    1.206       0.000
52        0.000        0.000    0.756       0.672

 [*,Pruszkow,Kapusta,*] (tr)
:  Krzesak UAktora UCHLOPAKOW    :=
