transport_do_sklepow_tyg [*,Piaseczno,Buraki,*] (tr)
:  ArabicGroceryShop DobryWarzywniak Krzesak UKermita UPanaWojtka    :=
1         0.000            1.114       1.578   1.032      0.000
2         0.982            2.105       4.347   0.626      0.000
3         0.000            0.000       0.000   0.601      0.031
4         0.000            1.078       0.000   1.742      0.000
5         0.000            1.015       4.614   0.000      0.000
6         0.000            0.720       0.000   0.000      0.000
7         0.000            1.526       0.000   0.747      0.000
8         0.000            0.000       0.000   1.116      0.000
9         0.988            2.891       5.896   0.000      0.000
10        0.000            0.199       0.000   1.820      0.000
11        0.761            0.000       0.000   0.000      0.000
12        1.216            0.000       0.000   0.000      0.000
13        3.084            2.710       0.000   0.643      0.000
14        0.000            0.000       3.188   0.630      0.000
15        0.000            0.000       0.000   2.049      0.000
16        0.000            1.536       0.000   0.000      0.000
17        1.053            0.000       3.376   0.000      0.000
18        1.149            0.000       0.000   0.000      0.000
19        0.000            1.488       0.000   0.451      0.000
20        0.000            0.961       1.206   1.799      0.000
21        0.000            0.000       1.754   0.000      0.000
22        0.000            1.775       1.301   0.000      0.000
23        0.000            0.000       2.819   1.032      0.000
24        0.000            0.608       0.000   0.000      0.000
25        0.000            1.118       4.302   2.041      0.000
26        2.338            2.431       0.000   0.000      0.000
27        0.000            1.544       0.000   0.000      0.000
28        0.000            0.000       3.173   1.874      0.000
29        0.000            0.000       0.000   0.000      0.000
30        1.272            1.838       3.330   0.412      0.000
31        1.257            0.000       0.000   0.704      0.000
32        0.000            2.161       1.444   0.518      0.000
33        2.515            0.000       3.422   0.631      0.000
34        0.000            1.859       0.000   1.749      0.000
35        0.000            0.000       5.480   0.000      0.000
36        0.353            2.171       0.000   1.766      0.000
37        1.257            0.000       0.000   0.599      0.000
38        0.000            1.073       1.896   0.000      0.000
39        1.257            2.072       1.883   1.543      0.000
40        2.267            0.000       3.360   0.000      0.000
41        0.000            1.073       0.000   0.944      0.000
42        0.000            0.986       1.584   1.087      0.000
43        2.317            2.666       1.855   1.336      0.000
44        0.047            0.000       3.544   0.169      0.000
45        2.515            0.000       0.000   1.831      0.000
46        0.000            1.885       6.421   0.000      0.000
47        0.844            0.000       0.290   1.198      0.000
48        0.000            1.686       0.000   0.000      0.000
49        0.000            0.485       0.000   2.091      0.000
50        1.270            2.856       3.291   0.000      0.000
51        0.000            0.000       0.000   0.000      0.000
52        1.257            0.000       1.615   0.592      0.000

 [*,Piaseczno,Kapusta,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        1.505       0.000   1.754
2        0.000       0.000   0.000
3        1.762       0.000   0.484
4        0.000       0.000   0.000
5        0.358       0.000   0.000
6        2.463       0.000   0.300
7        0.000       0.000   0.524
8        0.000       0.000   0.699
9        0.000       0.000   0.000
10       0.000       2.492   1.184
11       1.060       0.000   0.000
12       0.000       0.000   0.000
13       0.869       0.633   1.325
14       0.000       2.810   0.000
15       1.254       0.000   0.000
16       0.000       0.000   1.360
17       0.190       0.000   0.000
18       1.049       0.000   0.000
19       0.000       0.000   0.000
20       1.003       1.919   0.000
21       0.000       0.000   1.056
22       1.481       0.814   0.000
23       0.000       1.290   0.000
24       0.000       0.000   1.002
25       0.741       1.677   0.000
26       1.254       0.000   1.695
27       0.000       1.124   0.000
28       1.927       2.927   0.000
29       0.000       0.000   0.000
30       0.107       0.000   0.524
31       1.456       0.000   1.279
32       0.000       0.919   0.000
33       1.802       0.000   0.000
34       0.000       0.000   0.444
35       0.000       0.000   1.167
36       0.973       0.000   0.000
37       1.349       2.389   0.236
38       0.656       0.000   0.651
39       0.000       0.000   1.272
40       1.353       0.000   0.000
41       0.166       0.000   0.384
42       0.646       0.000   0.648
43       0.467       3.450   0.754
44       1.950       0.000   0.209
45       0.000       0.000   0.605
46       0.326       0.000   0.880
47       2.214       0.000   0.000
48       0.000       0.000   0.464
49       0.000       0.000   0.851
50       1.310       3.214   0.000
51       0.000       0.000   0.487
52       0.481       0.000   0.396

 [*,Piaseczno,Marchew,*] (tr)
:  DobryWarzywniak Krzesak UKermita    :=
1        1.329       2.058   0.974
2        1.754       0.000   0.571
3        0.000       0.269   1.269
4        2.810       2.263   0.000
5        0.000       0.000   0.683
6        0.000       3.911   1.779
7        2.046       0.000   0.000
8        0.000       0.000   0.000
9        0.000       3.141   0.191
10       2.331       0.000   0.558
11       0.000       0.000   2.065
12       0.000       1.863   0.000
13       1.829       0.000   1.149
14       0.000       4.003   0.000
15       0.000       0.000   0.000
16       1.530       0.000   0.000
17       0.000       0.000   1.328
18       0.568       1.127   0.000
19       3.181       1.030   0.106
20       0.000       5.360   1.254
21       0.000       0.000   0.000
22       0.000       0.000   0.407
23       2.428       0.000   2.198
24       0.000       2.297   0.000
25       0.019       0.000   0.000
26       1.215       0.000   0.268
27       0.655       1.668   0.764
28       1.037       3.010   0.000
29       2.759       0.000   1.453
30       0.055       2.817   0.318
31       0.000       0.000   1.205
32       1.871       3.152   0.000
33       1.252       2.316   1.260
34       0.000       1.364   0.000
35       2.325       0.000   0.917
36       0.000       2.830   0.804
37       0.784       0.000   0.356
38       1.905       1.766   0.948
39       0.000       4.259   0.852
40       2.210       0.000   0.645
41       0.000       7.720   0.899
42       2.691       0.000   1.010
43       0.000       0.977   1.103
44       0.000       0.000   1.797
45       1.301       0.000   0.000
46       0.852       0.000   0.000
47       1.992       1.577   0.635
48       0.000       4.942   0.710
49       1.170       0.000   1.194
50       0.955       0.000   0.000
51       1.659       1.262   0.731
52       0.000       1.622   0.560

 [*,Piaseczno,Ziemniaki,*] (tr)
:  DobryWarzywniak  Krzesak UKermita    :=
1        3.053        2.108   1.300
2        0.000        5.867   2.538
3        2.737        0.000   0.000
4        0.090        0.000   0.000
5        2.334        7.397   2.906
6        0.000        0.000   0.000
7        1.119        0.000   0.556
8        2.923        0.030   0.008
9        0.271        0.000   1.115
10       0.000        4.546   0.000
11       0.698        4.727   0.869
12       1.290        0.000   1.609
13       1.217        0.000   0.000
14       1.384        0.000   1.916
15       0.000        0.000   0.000
16       2.161       10.305   0.000
17       0.000        0.000   1.413
18       0.812        0.000   0.000
19       1.422        1.613   2.329
20       1.984        0.000   0.000
21       0.000        3.015   0.000
22       2.287        0.000   1.085
23       0.000        0.220   0.000
24       3.975        0.000   0.969
25       0.000        7.408   1.112
26       0.000        0.000   0.996
27       2.498        0.284   0.656
28       0.000        0.000   1.909
29       1.455        9.209   0.000
30       1.193        0.000   2.662
31       1.214        0.000   0.000
32       1.737        1.341   0.000
33       1.386        0.000   2.657
34       1.387        2.507   0.321
35       2.944        4.082   0.182
36       0.076        0.953   1.724
37       2.975        2.210   0.000
38       0.000        9.374   2.355
39       2.994        0.000   0.208
40       0.249        0.000   0.907
41       1.313        0.000   2.412
42       2.268        4.710   0.996
43       0.639        0.000   0.885
44       0.826        1.966   1.616
45       3.137        7.725   0.000
46       0.000        0.000   0.864
47       1.058        0.967   2.429
48       1.992        0.000   0.318
49       1.657        7.187   0.000
50       1.408        0.000   0.961
51       2.199        0.000   1.987
52       0.000        2.219   0.000

 [*,Pruszkow,Buraki,*] (tr)
:  ArabicGroceryShop UAktora UCHLOPAKOW UPanaWojtka    :=
1         1.382        3.470    1.518       0.000
2         0.000        0.000    2.566       0.000
3         1.072        0.000    0.000       0.000
4         0.922        0.590    2.935       0.000
5         0.808        1.832    0.000       2.123
6         3.470        0.000    0.000       0.000
7         0.000        2.577    2.438       0.000
8         0.000        0.000    0.000       0.000
9         0.000        0.000    0.000       0.000
10        1.136        0.000    2.298       0.000
11        0.000        4.036    0.000       0.000
12        0.000        0.000    0.000       0.000
13        0.000        0.000    3.462       0.000
14        0.000        0.609    0.000       0.000
15        0.847        0.000    0.000       0.000
16        0.000        0.000    0.000       0.000
17        0.000        0.000    1.328       0.000
18        0.000        0.497    0.000       0.000
19        1.938        0.565    2.291       0.000
20        0.000        1.031    0.000       0.000
21        1.066        0.856    0.642       0.000
22        2.337        1.981    1.129       0.000
23        0.000        0.000    3.434       0.000
24        1.864        1.402    0.000       0.000
25        0.000        0.000    0.000       0.000
26        0.000        0.799    0.000       0.000
27        0.000        1.186    0.824       0.000
28        2.141        1.414    1.162       0.000
29        0.000        0.000    2.182       0.000
30        0.000        1.928    0.000       1.231
31        0.000        0.000    2.425       0.000
32        1.257        3.283    0.000       0.000
33        0.000        0.000    1.108       0.000
34        0.000        0.000    1.386       0.000
35        2.162        1.150    1.114       0.000
36        0.000        1.150    3.712       0.000
37        0.000        1.989    0.000       0.000
38        1.257        1.101    0.000       0.000
39        0.000        0.000    3.174       0.515
40        0.000        1.493    0.000       0.000
41        0.000        1.282    0.907       0.978
42        1.257        0.000    1.288       0.000
43        0.000        0.942    1.373       1.227
44        0.151        1.134    3.295       0.000
45        0.000        2.278    0.000       0.000
46        0.000        0.000    0.000       0.000
47        0.000        1.013    1.380       0.000
48        2.409        0.726    1.304       0.000
49        0.000        0.948    2.732       0.000
50        0.000        0.958    0.000       0.000
51        1.257        1.824    0.989       0.000
52        0.000        0.000    1.141       1.227

 [*,Pruszkow,Kapusta,*] (tr)
:  Krzesak UAktora UCHLOPAKOW    :=
1    2.865   1.351    1.841
2    0.000   0.000    0.000
3    0.000   2.326    0.966
4    0.921   0.000    1.857
5    1.537   0.000    0.000
6    0.000   0.869    0.000
7    0.715   0.000    0.384
8    0.645   0.000    2.593
9    0.644   0.000    0.000
10   0.000   0.314    0.000
11   0.000   1.319    0.000
12   0.000   0.000    0.000
13   0.000   0.000    1.940
14   0.000   0.000    0.000
15   0.000   0.000    0.000
16   0.000   1.142    2.587
17   0.764   0.000    0.000
18   0.000   0.000    0.000
19   0.750   0.000    0.000
20   0.000   0.000    0.000
21   0.000   0.548    1.095
22   0.000   0.676    0.000
23   0.509   0.000    2.029
24   0.000   0.000    0.000
25   0.000   0.000    0.639
26   0.000   1.353    0.000
27   0.000   0.000    0.000
28   0.000   0.901    1.370
29   0.000   0.000    0.000
30   0.000   0.774    1.274
31   5.876   1.853    0.000
32   0.000   0.000    0.900
33   0.000   0.000    2.383
34   0.000   0.000    0.000
35   0.000   0.000    0.000
36   0.000   0.000    2.753
37   0.000   0.470    0.000
38   0.000   0.890    0.000
39   1.057   0.871    0.574
40   3.177   0.000    1.897
41   0.000   0.000    0.000
42   0.000   0.000    1.679
43   0.000   0.000    1.839
44   0.000   1.091    0.000
45   0.000   0.000    0.000
46   1.071   0.668    0.536
47   1.101   2.298    2.640
48   2.132   0.044    0.000
49   0.000   0.000    0.000
50   0.000   0.000    0.850
51   0.000   0.000    0.672
52   0.000   0.503    0.679

 [*,Pruszkow,Marchew,*] (tr)
:  ArabicGroceryShop Krzesak UAktora UCHLOPAKOW UPanaWojtka    :=
1         1.290        0.000   1.117    1.624       0.000
2         0.899        1.829   1.605    3.266       0.000
3         4.542        0.000   1.164    0.000       0.000
4         0.000        0.000   0.000    1.059       0.000
5         0.000        0.000   2.281    0.000       0.000
6         0.053        0.000   0.000    1.455       0.000
7         0.000        0.000   0.000    0.000       0.000
8         1.141        0.000   0.608    2.109       0.148
9         3.823        0.000   1.815    0.000       0.000
10        0.688        0.000   0.000    2.338       0.000
11        0.000        0.000   0.000    0.000       0.000
12        0.037        0.000   1.793    0.406       0.000
13        0.000        0.000   0.000    0.000       0.000
14        1.572        0.000   0.000    0.903       0.000
15        0.000        0.000   2.010    4.579       0.000
16        2.315        0.000   0.000    0.000       0.000
17        0.000        0.000   0.000    0.000       0.000
18        3.364        0.000   1.548    0.000       0.000
19        0.000        0.000   0.403    0.000       0.000
20        0.000        0.000   0.000    0.000       0.000
21        0.526        0.000   3.174    1.883       0.000
22        1.116        0.000   0.768    0.000       0.000
23        3.033        0.000   0.000    0.246       0.000
24        0.000        0.000   0.000    1.728       0.000
25        0.000        0.000   0.350    0.000       0.000
26        2.433        1.389   0.413    3.418       0.000
27        0.032        0.000   1.978    0.000       0.000
28        0.841        0.000   0.000    0.000       0.000
29        1.019        0.000   1.629    0.000       0.000
30        2.610        0.000   0.000    1.875       0.000
31        0.000        0.000   1.981    0.000       0.000
32        1.446        0.000   0.000    4.310       0.000
33        1.421        0.000   1.935    0.000       0.162
34        1.421        0.000   0.001    0.000       0.000
35        1.421        0.000   1.169    1.362       0.000
36        2.765        0.000   3.292    0.000       0.000
37        0.000        0.000   0.000    1.724       0.000
38        2.154        0.000   1.088    1.069       0.000
39        0.689        0.000   0.000    2.796       0.000
40        2.905        0.000   1.480    0.000       1.231
41        1.621        0.000   0.000    1.269       0.000
42        0.484        0.000   3.306    2.399       0.000
43        0.000        0.000   1.515    0.000       0.000
44        3.212        0.000   0.000    1.804       0.000
45        0.000        0.206   0.000    0.000       0.000
46        0.859        0.000   0.643    3.645       0.000
47        0.767        0.000   0.989    0.421       0.000
48        1.237        0.000   2.525    0.140       0.000
49        1.038        0.000   0.000    1.285       0.000
50        2.507        0.000   0.000    2.144       0.000
51        0.000        0.000   1.694    0.000       0.000
52        1.183        0.000   0.000    1.035       0.000

 [*,Pruszkow,Ziemniaki,*] (tr)
:  UAktora UCHLOPAKOW    :=
1    1.562    4.017
2    2.637    0.000
3    0.000    1.801
4    2.588    1.541
5    0.000    1.149
6    2.617    1.214
7    0.000    3.145
8    0.000    0.000
9    2.484    0.000
10   0.000    2.110
11   0.000    0.000
12   1.091    3.109
13   2.485    0.000
14   0.000    1.677
15   0.000    0.000
16   1.711    1.794
17   0.000    0.755
18   4.919    0.000
19   0.000    2.815
20   0.000    0.000
21   0.343    4.907
22   0.000    0.000
23   2.165    0.000
24   0.000    0.567
25   5.095    0.000
26   0.000    1.168
27   0.132    2.495
28   0.000    0.000
29   0.226    4.886
30   3.367    0.605
31   0.000    0.337
32   0.410    0.000
